city,latitude,temperature,humidity,cloudiness,wind_speed
Ardesen,41.19,279.15,87,75,1.5
Ixtapa,20.71,299.82,61,20,2.1
Georgetown,6.8,301.15,78,75,6.2
Esperance,-33.86,287.15,71,75,2.1
Luanda,-8.83,300.15,83,75,5.7
Punta Arenas,-53.16,283.15,52,75,13.4
Malanje,-9.54,292.87,94,83,2.58
Oulainen,64.27,275.37,80,13,4.47
Dandeli,15.34,291.56,89,39,0.82
Lagoa,37.14,288.71,77,40,5.7
Farsala,39.45,274.15,64,10,2.6
Fortuna,40.6,283.15,93,75,3.1
East London,-33.02,295.15,68,70,5.7
Cabo San Lucas,22.89,297.59,56,40,1.0
Yabassi,4.42,303.15,74,20,1.0
Port Lincoln,-34.72,296.41,72,100,10.28
Sal Rei,16.18,297.15,41,1,9.8
Purmerend,52.5,285.93,93,90,6.7
Caleta Olivia,-46.43,289.5,23,68,3.46
Lebedinyy,58.52,256.81,94,100,2.06
Kupang,-10.16,298.15,94,100,1.5
Ribeira Grande,38.52,291.15,77,75,5.7
Khatanga,71.98,250.12,98,99,2.74
Bacorehuis,26.44,296.48,46,83,0.89
Seaside,45.99,279.82,100,90,1.5
Zonguldak,41.25,271.11,97,97,0.06
Petropavlovsk-Kamchatsky,53.05,266.15,62,100,4.0
Puerto Ayacucho,5.66,306.15,52,40,4.6
Saint-Philippe,45.36,263.71,51,1,1.5
San Quintin,17.54,294.77,82,18,1.98
Kanniyakumari,8.08,299.46,73,100,7.83
Departamento de Presidente Hayes,-23.49,309.77,39,35,4.8
Inta,66.04,267.74,80,100,12.54
Thompson,55.74,252.15,76,90,5.1
Tucumcari,35.17,284.15,21,1,8.7
Esso,55.93,257.07,83,100,1.58
Nagato,34.35,281.15,63,75,4.6
Abu Dhabi,24.47,294.15,73,99,2.1
Port Alfred,-33.59,293.71,85,90,2.24
Vercelli,45.18,279.26,86,25,0.5
Sioux Lookout,50.1,264.15,85,90,1.5
Roros,62.57,258.15,100,93,1.0
Keokuk,40.33,287.59,58,90,9.8
Carnarvon,-30.97,296.77,40,0,8.95
Monroe,41.91,279.26,47,1,4.6
Chicama,-7.84,296.15,83,40,5.7
Pevek,69.7,252.94,82,100,2.02
Bredasdorp,-34.53,290.93,86,53,0.45
Severo-Kuril'sk,50.68,266.67,91,100,4.72
Hithadhoo,-0.6,301.29,79,29,6.58
Tarnowskie Gory,50.45,279.15,81,75,7.2
Kafanchan,9.67,306.15,22,3,4.1
Cockburn Town,21.46,301.15,65,40,7.7
Atwater,37.35,282.04,87,90,4.6
Fortaleza,-3.71,299.82,88,90,5.7
Derzhavinsk,51.1,259.68,93,100,2.92
Arraial do Cabo,-22.97,306.15,66,20,4.1
Gimli,50.56,262.04,92,100,1.99
Arman,59.7,259.58,91,100,5.19
Kolpino,59.7,275.37,88,20,5.0
Bilma,18.69,292.88,18,54,3.48
Urgut,39.41,275.15,74,100,2.1
Avarua,-21.21,299.15,83,97,4.6
Eyl,7.98,299.02,76,6,9.39
Klaksvik,62.23,278.15,66,48,6.2
Alta Floresta,-9.87,298.15,94,75,4.1
Elmadag,39.92,273.15,68,40,2.1
Dingle,11.0,295.91,91,57,4.95
Yellowknife,62.45,234.15,65,20,2.6
Port Augusta,-32.49,296.48,83,90,5.1
Sao Miguel do Araguaia,-13.28,303.89,64,100,1.76
Albany,42.65,269.26,32,20,2.05
Torres,-29.34,298.24,91,0,6.58
Omboue,-1.57,296.81,91,100,1.19
Oak Grove,33.74,288.71,28,1,2.6
Tura,64.27,247.84,92,0,2.94
Merauke,-8.49,296.31,95,100,1.77
Blythe,33.61,287.04,43,1,2.1
Atuona,-9.8,300.95,74,7,9.75
Imo State,5.43,304.15,45,74,1.0
Lapa,-25.72,303.15,55,40,3.1
Bulgan,48.81,251.78,81,34,2.12
Yarada,17.65,296.15,88,40,1.0
Shimoda,34.7,282.04,75,74,14.7
Nanakuli,21.39,295.15,88,90,4.6
Port-Gentil,-0.72,299.15,88,40,3.1
'Ahuimanu,21.44,295.15,83,75,5.7
Ust'-Omchug,61.13,244.97,98,100,2.66
Curup,-3.47,293.05,99,100,0.61
Thinadhoo,0.53,301.33,77,36,7.16
Walvis Bay,-22.95,298.15,50,0,7.7
Mercedes,-33.25,298.71,68,72,1.79
Sokoto,13.06,300.7,20,72,4.12
Geraldton,49.72,260.15,84,90,4.6
Bujumbura,-3.48,288.63,90,97,1.23
Olho d'Agua,-2.92,303.57,59,68,4.45
Garoowe,8.41,298.58,50,0,8.03
Bethel,60.79,251.15,83,40,12.9
Ouadda,8.07,298.14,27,4,2.85
Hastings,-39.64,287.05,75,84,4.12
Tuatapere,-46.13,284.26,78,98,2.24
Tarauaca,-8.16,306.46,45,27,1.89
Jiaxing,30.76,282.59,93,75,2.0
Batagay-Alyta,67.8,247.95,79,100,2.12
Cherskiy,68.75,243.22,82,78,2.44
Tongchuan,34.9,274.15,100,90,1.0
Los Llanos de Aridane,28.66,292.15,63,20,8.2
Chui,-33.69,306.92,38,50,0.62
Te Anau,-45.41,279.87,78,100,3.17
Guerrero Negro,27.97,289.24,64,28,7.95
Bubaque,11.28,299.89,51,71,4.57
Melito di Porto Salvo,37.92,286.48,62,20,3.6
Polyarnyye Zori,67.37,270.84,76,93,7.74
Kuusamo,65.96,271.15,74,31,6.2
Chokurdakh,70.62,247.18,98,91,1.4
Antibes,43.56,283.71,81,0,2.1
Huarmey,-10.07,302.54,43,17,5.82
Charente-Maritime,45.6,285.15,87,96,5.7
Phan Thiet,10.93,293.54,93,19,0.82
Russell,38.9,282.04,45,1,6.2
Mehamn,71.03,276.15,96,75,6.7
Witham,51.8,285.15,93,20,5.1
Leningradskiy,69.38,249.83,91,97,3.94
Coyhaique,-45.58,285.15,40,75,4.1
Kununurra,-15.77,302.15,83,93,3.1
Upernavik,72.79,246.26,79,66,3.15
Owosso,43.0,273.71,59,75,7.2
Radeberg,51.12,284.26,93,75,1.0
Gawler,-34.6,298.15,64,65,3.1
Province of Batangas,13.8,297.04,92,84,2.2
La Ronge,55.1,253.15,70,90,3.6
Grindavik,63.84,270.15,92,75,11.8
Quelimane,-17.88,303.15,79,20,4.6
Metro,-5.11,297.62,92,100,2.32
Zaraza,9.35,305.39,41,13,2.69
Gama,-16.02,300.37,83,75,2.6
Sao Joao da Barra,-21.64,304.15,58,75,7.2
As Si`in,35.3,280.92,83,100,2.83
Cururupu,-1.82,300.2,87,68,1.62
Adrar,27.87,290.15,25,0,7.2
Denpasar,-8.65,301.15,83,40,3.1
Petropavlovka,50.61,255.56,84,100,1.94
Alofi,-19.06,299.15,88,83,4.1
Astakos,38.54,283.15,81,0,1.0
Iskateley,67.68,273.54,97,100,8.52
Vestmannaeyjar,63.44,272.15,80,75,18.0
Savannah,39.95,289.82,62,90,14.4
Shiringushi,53.85,268.16,94,97,4.41
Pinar del Rio,22.42,298.82,66,49,8.3
Montevideo,44.94,272.15,80,1,3.1
Qian'an,44.99,254.69,94,0,3.06
Lorengau,-2.02,301.9,78,100,3.85
Puerto Madryn,-42.77,292.93,10,86,13.85
Gerash,27.67,287.15,62,90,2.1
Okhotsk,59.36,249.24,67,0,8.19
Harrison,39.26,285.93,42,1,2.1
Progreso,-34.68,300.37,61,84,3.6
Abbeville,50.11,285.37,93,90,3.1
Yur'yev-Pol'skiy,56.5,271.67,93,69,4.47
Ariege,42.87,283.71,79,66,0.45
Torbay,47.66,273.15,86,90,14.9
Mossamedes,-15.19,299.15,74,75,10.3
Ashland,37.17,282.59,39,52,4.02
Pilani,28.39,283.97,45,0,3.44
Lavrentiya,65.58,252.34,70,44,4.91
Ostrovnoy,68.05,271.85,89,77,9.96
Bathsheba,13.22,302.15,62,40,12.3
Lewistown,40.39,285.37,50,90,7.2
Bileca,42.97,279.15,70,0,2.1
Meoqui,28.39,292.59,8,5,4.6
Serebryansk,49.68,259.11,94,89,1.06
College,64.86,246.15,88,75,1.5
Tual,-5.67,301.31,80,100,6.29
Saint-Louis,16.03,301.15,13,100,4.1
Jinan,36.65,275.37,71,99,1.67
Qaqortoq,60.72,257.15,34,5,2.1
Batemans Bay,-35.71,292.59,95,77,0.89
Sinnamary,5.38,300.21,72,0,6.78
Xiulin,29.72,276.38,91,100,5.03
Baiyin,36.55,269.82,100,90,1.0
Izborsk,57.76,277.15,83,100,4.0
Lagoa Nova,-6.09,301.38,62,85,3.61
Namyslow,51.08,281.48,87,75,2.6
Talnakh,69.49,258.15,84,75,19.0
Ouallam,14.32,301.99,19,40,3.89
Kargalinskaya,43.74,277.19,80,100,2.13
Tashtyp,52.8,260.27,89,97,1.2
Aklavik,68.22,242.15,73,20,3.66
Aksu,52.04,253.15,76,75,3.06
Kavieng,-2.57,299.29,86,100,3.42
Mahebourg,-20.41,298.15,78,40,3.1
Srednekolymsk,67.46,238.57,90,0,0.36
Bolitoc,15.74,295.43,76,10,1.48
Leksvik,63.83,277.59,74,20,5.7
Sungaipenuh,-2.08,290.54,98,100,1.16
Casino,-28.86,295.15,88,18,3.6
Comodoro Rivadavia,-45.87,290.15,25,75,6.2
Cristobal Obregon,16.38,296.15,60,40,4.1
Vallenar,-28.57,299.68,29,0,5.45
Kodinar,20.79,288.08,40,0,4.51
Bereket,39.24,279.11,74,100,3.91
Goderich,43.74,270.93,78,100,9.39
Shanghai,31.23,282.15,93,75,2.0
Eureka,40.8,282.15,93,75,3.1
Naantali,60.45,274.82,86,54,3.1
Umm Lajj,25.02,285.54,56,67,2.67
Khombole,14.69,303.15,9,79,6.2
Pacifica,37.61,285.37,87,90,8.7
Takoradze,4.89,300.42,80,5,5.93
Siraha,26.66,288.73,91,32,1.84
Sistranda,63.73,275.37,74,40,4.1
Strezhevoy,60.73,259.15,84,97,4.0
Hasaki,35.73,279.15,81,75,2.1
Izhmorskiy,56.19,253.97,98,95,2.06
Tekirdag,40.98,273.15,79,78,3.1
Moron,18.56,300.68,72,0,5.66
Half Moon Bay,37.46,285.37,87,90,8.7
Paracuru,-3.41,299.82,88,90,5.7
Surgut,61.25,260.15,92,40,6.0
Torquay,-25.3,295.37,83,22,2.6
Landkreis Passau,48.64,278.15,93,20,1.0
San Juan,-31.53,305.01,15,0,5.5
Dzhezkazgan,47.8,256.06,95,56,2.93
Beringovskiy,63.05,264.43,79,100,9.88
Santa Fe,-31.62,303.15,64,59,2.68
Kasongo-Lunda,-6.48,292.37,99,81,0.77
Labuan,5.28,300.15,88,75,2.6
Sao Filipe,14.9,294.11,63,0,10.08
Sainte-Marie,46.45,260.93,54,20,6.2
Ugoofaaru,5.67,300.87,76,11,4.28
Traverse City,44.76,271.48,58,90,4.6
Coquimbo,-29.95,294.15,60,0,6.7
Terrace Bay,48.78,264.15,85,90,2.6
Marne,48.95,284.26,87,90,8.7
Eldorado,-24.52,303.77,80,99,0.94
Izhma,65.01,272.81,96,100,4.95
Hare Bay,48.86,267.15,92,90,13.9
Maniitsoq,65.42,258.78,88,100,5.16
Atambua,-9.11,297.54,83,100,1.42
Golkoy,40.69,279.15,75,75,2.1
Tiznit,29.7,284.88,71,0,3.07
Imeni Poliny Osipenko,52.42,251.75,98,57,2.0
Hudson Bay,52.86,255.32,87,100,2.1
Jam Sahib,26.3,289.15,67,0,2.1
Meridian,43.61,275.37,100,20,5.1
Noumea,-22.28,299.82,73,99,2.1
Quthing,-30.4,292.46,57,44,1.77
Paamiut,61.99,259.16,60,24,6.24
Filadelfia,-22.35,306.49,44,97,7.83
Kabirwala,30.4,281.15,93,0,1.98
Tignere,7.37,296.27,28,27,1.13
Wageningen,51.98,285.93,93,75,6.7
Gonbad-e Kavus,37.25,283.15,81,90,4.1
Tiksi,71.64,250.97,90,100,2.79
Ust-Nera,64.57,233.68,100,99,0.59
Jackson,31.44,290.37,70,100,0.45
Margate,-43.03,294.82,56,100,6.7
Ximeicun,25.02,286.15,87,0,2.0
Bogovarovo,58.98,270.78,94,100,4.25
Kiunga,-6.12,296.42,99,100,1.32
Musoma,-1.5,297.15,78,20,0.59
Nkwerre,5.75,304.31,32,74,1.67
Karratha,-20.74,304.34,64,100,9.53
Butaritari,3.07,302.27,77,100,7.78
Plock,52.56,279.26,100,90,4.1
Casambalangan,18.38,297.78,83,49,7.4
Ferkessedougou,9.6,304.82,19,68,0.56
Caraguatatuba,-23.68,300.15,74,40,2.1
Bahia Honda,22.9,298.9,69,38,7.52
Ravar,31.27,280.61,40,4,1.26
Berlevag,70.86,274.15,95,40,9.3
Tezu,27.93,285.12,96,71,0.08
Mahalapye,-23.11,299.09,63,100,2.25
Taunggyi,20.78,285.92,73,0,1.54
Tautira,-17.73,299.15,83,75,2.1
Marawi,8.0,297.59,91,44,1.34
Zdvinsk,54.7,255.86,97,81,3.24
Nara,34.68,282.15,61,100,11.8
Sinazongwe,-17.26,300.48,75,69,2.45
Biloela,-24.4,290.97,94,1,0.74
Cap Malheureux,-19.98,298.15,78,40,3.1
San Patricio,-26.98,310.23,39,51,2.38
Qinhuangdao,39.94,269.97,54,100,2.66
Maltahohe,-24.83,299.42,15,0,5.84
Hambantota,6.12,298.88,79,100,8.45
Rio Grande,-32.03,307.15,56,75,7.7
Nagoya,35.17,282.15,66,75,9.3
Nizip,37.01,278.15,80,20,1.0
Srikakulam,18.29,294.81,74,81,1.2
Mikulov,48.81,276.15,91,100,2.6
Vorkuta,67.55,266.97,93,100,9.79
Presidencia Roque Saenz Pena,-26.79,312.65,28,24,2.6
Riosucio,5.42,299.15,65,40,3.1
Monrovia,6.33,304.15,70,75,3.6
Aksha,50.28,255.49,83,19,3.54
Zhangye,38.94,267.77,51,100,2.14
Hamilton,43.26,271.48,67,75,5.1
Kamien Pomorski,53.97,283.15,93,90,3.6
Pacific Grove,36.62,285.93,93,90,1.5
Martorell,41.48,285.93,87,18,2.1
Coron,47.13,284.15,81,90,5.1
Basoko,1.23,299.31,64,15,1.96
Narsaq,60.91,257.15,34,5,2.1
Hatillo,18.49,304.26,71,75,9.3
Lompoc,34.64,287.59,71,75,1.5
Norman Wells,65.28,231.15,64,40,0.97
Chiavenna,46.33,279.82,49,69,3.1
Drayton Valley,53.22,253.94,95,100,0.66
Guaimaca,14.68,297.48,55,34,3.75
Los Chiles,11.04,295.93,57,51,4.97
Joshimath,30.57,265.1,51,0,5.01
Cayenne,4.94,303.15,58,75,7.2
Tshabong,-26.02,303.46,26,0,5.7
Kumul,42.84,266.12,53,100,2.3
Tsumeb,-19.25,297.75,41,3,2.29
Revda,67.94,270.59,85,100,7.17
Clayton,37.94,285.93,81,75,4.1
Sibolga,1.74,295.11,97,100,1.08
Mineral Wells,32.81,292.15,77,90,4.6
Touros,-5.2,303.15,66,75,3.1
Karagay,58.27,266.62,88,100,5.88
Ust-Kamenogorsk,49.96,259.15,92,90,0.57
Ngunguru,-35.62,283.71,92,30,2.24
Molchanovo,57.58,254.03,95,81,2.73
Monastyrshchina,54.43,273.35,91,100,3.76
Severnoye,54.09,261.08,97,100,4.66
Cooma,-36.24,285.15,100,73,6.7
Helena,46.59,272.04,73,90,3.1
Punta Gorda,16.17,297.15,78,90,1.61
Nchelenge,-9.35,295.93,83,100,1.79
Bandarbeyla,9.49,298.95,75,22,6.86
Rio Gallegos,-51.62,284.15,32,40,15.4
Nalut,31.86,284.29,60,0,3.32
Jiutai,44.15,258.15,77,97,3.0
Moussoro,13.64,297.77,16,18,6.1
Bolobo,-2.17,298.35,76,33,1.03
Luderitz,-26.65,296.15,56,0,10.3
Gerash,27.66,287.15,62,90,2.1
Louangphabang,19.89,292.15,93,8,0.37
Caesarea,32.52,284.15,100,75,2.1
Narvik,68.38,272.15,100,75,6.7
Camacha,33.08,292.15,77,40,5.1
Nangwa,-4.5,289.65,93,79,1.29
Nabire,-3.36,296.2,96,95,0.97
Xichang,27.88,274.67,96,68,2.62
Alexandria,43.97,274.26,62,91,2.17
Tlatlaya,18.62,304.14,22,0,1.41
Havelock,34.88,287.59,47,1,4.6
Westport,41.14,273.71,33,20,2.6
Winschoten,53.14,285.37,93,75,6.2
Saint-Jerome,45.63,263.15,55,20,2.1
Vestmanna,62.16,278.15,68,80,6.2
Doha,25.29,292.15,77,75,2.1
Valparaiso,41.47,282.04,48,75,8.7
Maceio,-9.67,304.15,58,20,7.2
Shahrud,36.42,273.07,80,20,2.27
Atar,20.52,291.81,16,0,5.93
Neiafu,-18.65,299.15,88,40,3.1
Obidos,39.36,288.71,82,40,4.6
Ongandjera,-17.88,303.28,35,35,4.46
Kruisfontein,-34.0,290.17,86,66,4.47
Falkhytta,62.91,278.15,62,40,3.1
Chimore,-16.98,302.64,76,87,1.54
Anadyr,64.73,261.15,51,100,6.0
Kenai,60.55,254.82,83,90,2.6
Saint-Francois,46.42,284.15,62,73,1.0
Kahului,20.89,295.15,83,40,4.1
Raymun,32.28,280.15,87,40,5.1
Boende,-0.28,297.31,91,68,1.02
High Level,58.52,245.15,75,90,3.1
Taldykorgan,44.91,261.41,84,96,1.12
Tiarei,-17.53,299.15,83,75,2.1
Meulaboh,4.14,300.98,77,100,3.2
Tessalit,20.2,296.32,18,93,2.85
Conceicao da Barra,-18.59,299.76,78,72,7.12
Magadan,59.56,259.41,77,100,5.32
Tazmalt,36.39,283.15,100,75,3.1
Beccles,52.47,283.15,87,20,0.5
Nhulunbuy,-12.18,300.15,88,100,3.1
Carnot,4.94,301.45,24,28,2.41
Port Hardy,50.7,273.15,94,90,2.6
Kushva,58.28,263.32,87,90,4.72
Bay Roberts,47.58,273.15,86,90,14.9
Sedhiou,12.71,305.15,15,80,3.1
Baruun-Urt,46.68,252.36,95,10,3.83
Tshikapa,-6.42,294.68,96,100,0.52
Cerrito,6.84,300.15,61,20,3.1
Balqash,46.84,259.7,88,0,4.47
Steinbach,49.53,263.15,72,90,3.1
Puerto Colombia,10.99,304.15,58,0,7.2
Salinopolis,-0.61,300.43,80,4,5.45
Pemberton,-34.44,284.82,85,2,1.03
Dawei,14.07,299.84,65,0,2.52
Macia,-25.03,302.23,64,96,4.74
Safranbolu,41.25,266.5,92,76,0.93
Fairbanks,64.84,240.93,86,75,1.5
Podgorenskiy,50.4,269.65,96,99,4.09
Dombarovskiy,50.76,257.93,96,61,3.01
Cassilandia,-19.11,301.23,78,99,1.71
Starokozache,46.34,273.15,60,75,1.0
Hirado,33.32,283.15,57,75,4.1
Sao Felix do Xingu,-6.64,303.71,63,55,1.16
Trat,12.25,301.44,70,1,0.83
Yaviza,8.11,304.87,54,38,0.92
Borazjan,29.27,290.15,72,75,5.1
Cabrera,3.98,292.16,70,13,2.7
Bariloche,-41.13,285.15,62,40,14.9
Chapais,49.78,247.15,75,1,1.5
Sydney Mines,46.24,270.37,73,90,11.8
Alice Springs,-23.7,307.15,26,100,4.1
Palekastro,35.2,284.26,61,51,6.71
San Jose,14.25,298.15,61,75,5.7
Sibiti,-3.69,295.01,95,100,1.4
Rubiataba,-15.16,300.97,76,91,3.11
Saskylakh,71.97,245.93,96,93,3.74
Riyadh,24.63,289.15,48,40,2.6
Crestview,30.76,293.15,48,40,5.1
La Rioja,-29.41,303.14,38,0,4.45
Nizwa,22.93,289.68,57,24,2.67
Doctor Arroyo,23.67,292.41,34,57,1.75
La Ferte-Bernard,48.19,285.15,100,100,7.7
Havre-Saint-Pierre,50.23,260.15,46,1,8.7
Sour Lake,30.04,296.15,78,90,6.7
Senneterre,48.39,251.15,83,90,5.1
Concarneau,47.88,284.26,87,79,10.8
Raymond,49.47,260.37,84,90,1.0
Isangel,-19.55,298.88,86,100,7.13
Flagstaff,35.2,281.48,52,1,1.5
Marystown,47.17,271.67,75,100,12.47
Kantang,7.42,295.51,96,44,1.34
Zelenoborsk,61.47,264.53,90,100,6.11
Jaruco,23.04,299.15,57,75,5.1
Tromso,69.65,274.15,86,90,12.3
Necochea,-38.55,297.04,51,0,4.92
Hamirpur,25.95,283.55,68,0,3.3
Divnoye,45.91,272.14,98,98,1.56
Illapel,-31.63,299.5,20,0,5.12
Kihei,20.76,295.15,83,40,4.1
Shahr-e Kord,32.33,275.15,69,40,4.1
Zhigansk,66.77,250.73,96,100,4.75
Roebourne,-20.77,306.14,38,81,5.32
Hirara,24.8,292.33,70,99,6.17
Sestri Levante,44.27,286.15,76,75,5.1
Richards Bay,-28.77,299.21,84,85,11.93
Macaubas,-13.02,305.9,39,19,3.08
Longyearbyen,78.22,261.15,66,40,18.5
Les Escoumins,48.35,258.76,74,0,2.6
Yerbogachen,61.28,249.09,97,74,2.98
Canico,32.63,292.15,72,40,5.7
Shitanjing,39.23,265.71,70,62,1.09
Kyshtovka,56.56,256.07,97,90,3.81
Verkhoyansk,67.55,244.16,100,99,0.6
Okha,53.59,257.08,94,94,6.03
Camacupa,-12.02,292.75,90,83,1.24
Dondo,-19.62,304.15,74,40,8.2
Jablah,35.36,283.15,81,75,2.1
Pangnirtung,66.15,243.15,55,20,2.6
Upata,8.02,302.49,46,53,1.29
Noshiro,40.21,275.79,74,100,2.18
Aitape,-3.15,301.51,82,75,6.1
Colac,-38.34,297.59,46,100,1.34
Sungai Besar,3.68,300.15,88,20,1.0
Khorixas,-20.37,300.71,31,0,8.48
Flin Flon,54.77,253.15,76,90,2.6
Nanortalik,60.14,264.7,50,18,10.34
Gao,16.28,299.79,16,34,2.92
Kurilsk,45.23,267.05,82,65,8.42
Mount Isa,-20.73,299.15,50,67,2.03
Lebyazhye,59.96,275.37,81,20,5.0
Ibadan,7.45,304.08,21,30,1.39
Skjervoy,70.03,277.15,80,90,18.0
Sept-Iles,50.2,260.93,42,20,7.2
Fonte Boa,-2.51,303.79,64,65,1.66
Gusev,54.59,276.66,94,93,3.65
Tamsalu,59.1,273.3,96,25,2.77
Ola,59.58,258.04,76,100,3.89
Hornepayne,49.22,262.41,89,100,5.3
Svetlaya,46.54,267.3,68,0,2.57
Yulara,-25.24,304.15,48,40,2.6
Paraguacu Paulista,-22.41,298.19,87,100,1.67
Birao,10.3,296.86,25,0,3.96
Djibo,14.1,299.96,20,51,1.92
